Expected_Runs,Temp,Humidity,Rain,pitcher_SO,pitcher_DRA,pitcher_ERA,pitcher_PPF,pitcher_VORP,pitcher_FIP,pitcher_PVORP,pitcher_PWARP,pitcher_BASES_VS_AB,pitcher_hit_mult,def_H,def_HR,def_GB%,def_FB%,def_LD%,def_POP%,def_DP%,R_batter,TB_batter,SO_batter,RBI_batter,DP_batter,FB%_batter,GB%_batter,LD%_batter,POP%_batter,ISO_batter,AVG_batter,OBP_batter,SLG_batter,TAV_batter,BASES_VS_AB_batter,SDTHB_BAT,bat_SO,bat_RBI,bat_DP,bat_FB%,bat_GB%,bat_LD%,bat_POP%,bat_ISO,bat_AVG,bat_OBP,bat_SLG,bat_TAV,batter_BASES_VS_AB,hit_mult,H_SIDE_pit,1B_SIDE_pit,2B_SIDE_pit,3B_SIDE_pit,HR_SIDE_pit,TB_SIDE_pit,SO_SIDE_pit,BB_SIDE_pit,HBP_SIDE_pit,SF_SIDE_pit,SH_SIDE_pit,DP_SIDE_pit,FB%_SIDE_pit,GB%_SIDE_pit,LD%_SIDE_pit,POP%_SIDE_pit,ISO_SIDE_pit,AVG_SIDE_pit,OBP_SIDE_pit,SLG_SIDE_pit,TAV_SIDE_pit,DRA_SIDE_pit,DRA-_SIDE_pit,CFIP_SIDE_pit,BASES_VS_AB_pit,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA
4.1,8.0,41.0,1.0,0.23,4.44,5.07,101.0,14.2,4.46,13.1,1.36,0.49,0.49,1223.0,188.0,45.12,22.78,25.36,6.74,11.58,0.09,0.28,0.15,0.08,0.01,22.86,45.68,24.05,7.11,0.15,0.25,0.31,0.4,0.26,0.44,0.44,0.15,0.09,0.02,23.96,46.67,23.81,5.57,0.14,0.25,0.32,0.4,0.26,0.44,0.44,32.33,20.33,6.67,0.0,5.33,55.0,31.67,11.33,0.0,1.67,0.0,4.33,20.2,50.93,22.38,6.5,0.19,0.26,0.32,0.45,0.27,4.44,101.33,93.67,0.49,3.62,1.71,0.88,0.54,0.09,0.04,0.05,0.1,0.58,0.12,0.3,44.05,44.05,42.8,1.93,1.94,-0.01,1.85,1.74
4.8,6.0,55.0,2.0,0.17,6.98,5.18,105.0,-22.4,5.31,-22.4,-2.32,0.55,0.55,1200.0,170.0,43.98,24.19,23.7,8.13,12.47,0.1,0.31,0.16,0.1,0.02,26.61,40.96,24.66,7.77,0.2,0.26,0.33,0.46,0.28,0.49,0.49,0.16,0.08,0.02,21.39,46.48,24.9,7.24,0.18,0.25,0.32,0.42,0.26,0.47,0.47,35.88,16.25,13.12,0.0,6.5,68.5,20.75,7.88,0.0,1.0,0.0,2.5,34.37,26.56,26.34,12.72,0.27,0.29,0.34,0.56,0.29,7.14,162.0,129.88,0.59,4.03,1.34,1.26,0.52,0.11,0.04,0.07,0.1,0.53,0.12,0.3,39.9,38.22,39.06,1.77,1.69,0.08,1.73,1.54
5.2,7.0,41.0,2.0,0.16,6.61,5.85,101.0,-21.7,5.67,-21.1,-2.18,0.5,0.5,1124.0,156.0,41.62,25.3,24.42,8.66,10.38,0.08,0.28,0.2,0.08,0.02,23.21,45.21,24.62,6.95,0.16,0.24,0.3,0.4,0.24,0.43,0.43,0.18,0.09,0.01,21.8,44.54,26.65,7.02,0.19,0.27,0.33,0.46,0.28,0.49,0.49,28.22,15.22,8.44,0.56,4.0,49.78,14.78,19.11,4.89,1.44,0.0,4.67,27.32,40.72,22.61,9.36,0.2,0.27,0.4,0.47,0.29,9.77,222.22,138.78,0.53,3.2,1.51,0.81,0.48,0.08,0.04,0.04,0.09,0.51,0.11,0.28,37.73,39.25,40.4,1.63,1.76,-0.13,1.77,1.63
4.1,6.0,67.0,3.0,0.24,3.87,3.3,106.0,25.5,3.54,26.0,2.69,0.43,0.43,1085.0,162.0,43.16,25.0,24.63,7.2,14.12,0.09,0.25,0.13,0.08,0.02,23.55,45.27,23.52,7.65,0.17,0.26,0.34,0.43,0.28,0.47,0.47,0.14,0.1,0.02,25.83,41.59,25.4,7.18,0.2,0.25,0.33,0.45,0.27,0.49,0.49,29.0,19.25,6.5,2.25,1.0,43.0,27.75,12.25,0.75,0.0,0.0,6.5,20.87,48.45,25.1,5.57,0.11,0.23,0.31,0.34,0.22,3.6,81.75,96.75,0.4,3.02,0.82,1.1,0.26,0.08,0.02,0.06,0.07,0.34,0.09,0.24,19.2,21.9,23.4,0.87,0.96,-0.09,1.02,0.98
3.6,7.0,25.0,0.0,0.3,2.6,2.05,97.0,44.6,3.25,43.6,4.52,0.38,0.38,991.0,126.0,44.82,24.13,23.36,7.69,12.38,0.03,0.09,0.05,0.03,0.0,22.51,47.73,22.74,7.01,0.15,0.25,0.32,0.4,0.26,0.45,0.5,0.21,0.09,0.02,21.25,46.71,25.51,6.54,0.15,0.26,0.33,0.42,0.27,0.45,0.45,29.0,15.33,8.0,0.67,5.0,53.33,43.33,14.0,0.0,0.67,1.0,3.0,25.15,41.85,26.25,6.76,0.15,0.18,0.24,0.32,0.2,3.18,72.67,92.67,0.37,3.0,1.18,0.9,0.34,0.08,0.03,0.05,0.08,0.44,0.1,0.26,32.0,32.36,34.84,1.36,1.39,-0.03,1.53,1.43
5.1,7.0,80.0,4.0,0.16,7.06,6.59,109.0,-8.3,5.44,-8.3,-0.86,0.55,0.55,1252.0,181.0,44.15,23.09,25.61,7.15,13.24,0.09,0.29,0.16,0.08,0.02,25.56,40.35,26.08,8.02,0.16,0.25,0.31,0.41,0.26,0.44,0.44,0.08,0.03,0.01,26.82,46.97,19.01,7.21,0.16,0.24,0.34,0.4,0.26,0.46,0.41,8.5,6.0,2.0,0.0,0.5,12.0,5.5,0.5,1.0,0.0,0.5,0.0,14.97,38.77,46.26,0.0,0.14,0.35,0.38,0.48,0.29,4.78,108.5,98.0,0.46,4.44,2.16,1.12,0.66,0.11,0.05,0.06,0.14,0.81,0.17,0.38,56.62,56.08,58.26,2.59,2.5,0.09,2.56,2.37
3.8,6.0,65.0,3.0,0.16,5.85,5.23,94.0,-3.2,5.24,-2.6,-0.27,0.52,0.52,1039.0,149.0,44.55,21.57,25.5,8.37,12.5,0.08,0.27,0.17,0.08,0.02,24.83,44.1,22.78,7.99,0.16,0.22,0.3,0.39,0.26,0.44,0.44,0.22,0.06,0.0,18.79,47.31,23.87,10.02,0.16,0.23,0.29,0.39,0.26,0.43,0.41,26.0,16.89,2.56,1.11,5.44,47.11,16.67,5.0,2.0,3.56,0.0,3.67,19.97,54.11,20.98,4.94,0.23,0.28,0.32,0.51,0.29,5.12,116.44,105.0,0.5,3.89,1.71,0.91,0.43,0.1,0.04,0.06,0.1,0.55,0.12,0.31,34.99,37.41,38.21,1.54,1.67,-0.12,1.65,1.59
4.1,7.0,25.0,0.0,0.2,4.94,4.44,97.0,11.4,4.43,3.7,0.39,0.47,0.47,1039.0,149.0,44.55,21.57,25.5,8.37,12.5,0.04,0.13,0.08,0.04,0.0,23.83,45.14,23.9,6.13,0.2,0.24,0.3,0.44,0.26,0.49,0.43,0.45,0.22,0.05,22.1,44.69,25.72,7.49,0.17,0.25,0.32,0.43,0.29,0.46,0.46,37.67,22.67,6.33,2.0,6.67,68.0,30.0,6.67,1.0,0.33,2.0,0.67,22.45,38.41,31.38,7.76,0.21,0.27,0.31,0.47,0.27,5.03,114.67,109.33,0.49,4.23,1.86,0.99,0.47,0.11,0.05,0.06,0.1,0.6,0.13,0.33,38.09,40.71,41.59,1.68,1.81,-0.14,1.79,1.73
3.8,7.0,25.0,0.0,0.22,4.14,3.63,105.0,21.6,4.1,20.4,2.12,0.44,0.44,1171.0,165.0,43.09,24.19,24.83,7.89,10.46,0.07,0.26,0.17,0.07,0.02,23.78,41.5,26.03,8.69,0.14,0.23,0.29,0.38,0.24,0.41,0.41,0.17,0.09,0.01,27.13,38.7,25.55,8.62,0.18,0.23,0.3,0.42,0.25,0.46,0.46,24.25,17.0,3.5,1.0,2.75,38.0,29.0,11.0,1.0,2.0,1.0,2.5,22.55,45.59,20.35,11.52,0.14,0.24,0.31,0.38,0.24,3.82,86.75,98.5,0.42,2.47,0.96,0.83,0.43,0.06,0.02,0.04,0.08,0.43,0.09,0.24,31.58,32.54,32.87,1.42,1.45,-0.03,1.45,1.34
3.6,7.0,25.0,0.0,0.2,3.91,3.2,93.0,13.3,4.16,13.1,1.36,0.4,0.4,1071.0,114.0,46.38,21.0,25.64,6.98,12.38,0.08,0.28,0.17,0.08,0.02,23.77,44.28,24.47,7.18,0.14,0.23,0.28,0.37,0.23,0.41,0.41,0.2,0.08,0.02,17.56,46.94,28.34,7.16,0.14,0.27,0.32,0.41,0.27,0.44,0.44,27.0,18.0,5.0,0.0,4.0,44.0,24.0,14.0,1.0,2.0,2.0,5.0,17.2,44.09,34.41,4.3,0.15,0.24,0.32,0.39,0.25,3.56,81.0,100.0,0.44,3.37,1.15,1.1,0.41,0.09,0.03,0.06,0.09,0.48,0.11,0.28,33.8,34.55,36.8,1.43,1.48,-0.04,1.59,1.43
