Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,Team_Ini
Astros,10.84,2.24,4.85,0.92,0.30,0.062,0.24,0.213,1.04,0.286,0.784,74,71,75,3.03,2.95,0.08,3.13,2.73,HOU
Yankees,11.56,3.38,3.42,0.9,0.31,0.091,0.219,0.21,1.16,0.291,0.755,74,72,80,3.17,3.13,0.04,3.35,2.99,NYA
Padres,9.8,2.68,3.66,0.86,0.26,0.071,0.19,0.232,1.18,0.3,0.73,89,82,88,3.46,3.31,0.15,3.6,3.24,SDN
Red Sox,9.69,3.63,2.67,0.85,0.26,0.096,0.16,0.228,1.26,0.293,0.784,76,86,91,3.34,3.54,-0.19,3.82,3.58,BOS
Giants,8.64,3.24,2.67,0.82,0.23,0.086,0.143,0.235,1.25,0.291,0.716,93,92,96,3.64,3.59,0.05,3.93,3.72,SFN
Mariners,9.43,2.81,3.35,1.02,0.25,0.074,0.173,0.241,1.24,0.304,0.727,97,90,95,3.94,3.7,0.24,4.01,3.46,SEA
Pirates,9.6,4.04,2.38,0.83,0.24,0.102,0.14,0.25,1.42,0.322,0.718,105,92,100,4.2,3.72,0.48,4.1,3.81,PIT
Brewers,10.13,3.75,2.7,1.07,0.27,0.098,0.167,0.236,1.31,0.304,0.75,91,90,87,3.79,3.78,0.01,3.58,3.46,MIL
Cubs,8.84,4.29,2.06,0.79,0.23,0.113,0.12,0.221,1.3,0.277,0.769,82,93,102,3.34,3.85,-0.52,4.2,4.04,CHN
Phillies,9.26,3.42,2.71,1.02,0.24,0.089,0.152,0.238,1.3,0.296,0.755,94,92,97,3.83,3.88,-0.05,3.97,3.66,PHI
Athletics,9.04,3.46,2.61,1.05,0.24,0.092,0.148,0.225,1.23,0.276,0.779,80,94,96,3.31,3.89,-0.58,4.05,3.74,OAK
Braves,9.09,4.07,2.23,0.9,0.24,0.106,0.13,0.236,1.34,0.296,0.722,103,97,100,4.18,3.94,0.24,4.1,3.93,ATL
Rays,8.21,3.31,2.48,0.97,0.22,0.088,0.13,0.229,1.23,0.274,0.716,94,97,101,3.88,3.97,-0.09,4.25,3.91,TBA
Rangers,8.08,3.03,2.67,1.01,0.21,0.079,0.131,0.25,1.31,0.298,0.707,95,93,98,4.2,3.97,0.23,4.13,3.86,TEX
Dodgers,9.45,3.39,2.79,1.16,0.25,0.089,0.16,0.229,1.25,0.284,0.736,101,99,95,3.92,4.01,-0.08,3.9,3.58,LAN
Cardinals,8.31,3.78,2.2,0.89,0.21,0.096,0.115,0.25,1.4,0.305,0.708,107,99,106,4.24,4.01,0.24,4.35,4.08,SLN
White Sox,9.55,4.27,2.24,0.98,0.24,0.106,0.131,0.257,1.49,0.327,0.701,110,94,103,4.6,4.03,0.57,4.33,3.95,CHA
Diamondbacks,7.9,3.33,2.37,1,0.21,0.09,0.123,0.222,1.2,0.262,0.789,77,99,99,3.12,4.05,-0.92,4.06,3.86,ARI
Nationals,8.64,2.93,2.95,1.2,0.23,0.078,0.152,0.235,1.22,0.281,0.769,92,101,102,3.78,4.11,-0.33,4.18,3.69,WAS
Tigers,7.87,3.47,2.27,1.05,0.20,0.089,0.113,0.257,1.39,0.305,0.719,103,98,106,4.43,4.2,0.23,4.47,4.14,DET
Twins,9.42,3.1,3.04,1.35,0.24,0.078,0.16,0.268,1.41,0.328,0.733,108,99,94,4.67,4.2,0.47,3.94,3.57,MIN
Marlins,8.25,4.31,1.91,0.98,0.21,0.108,0.099,0.257,1.48,0.311,0.669,129,108,111,5.08,4.32,0.76,4.56,4.3,MIA
Rockies,8.86,4.04,2.19,1.16,0.23,0.103,0.123,0.256,1.44,0.313,0.659,110,99,103,5.16,4.35,0.81,4.22,3.98,COL
Orioles,8.22,4.41,1.86,0.96,0.21,0.11,0.095,0.267,1.53,0.324,0.719,107,101,110,4.6,4.37,0.23,4.61,4.33,BAL
Angels,8.8,3.69,2.38,1.24,0.23,0.097,0.134,0.245,1.34,0.296,0.803,89,106,101,3.65,4.37,-0.72,4.25,3.89,ANA
Reds,7.83,3.79,2.06,1.1,0.20,0.097,0.103,0.253,1.4,0.298,0.738,101,105,105,4.14,4.41,-0.27,4.32,4.16,CIN
Blue Jays,9.17,3.29,2.79,1.41,0.24,0.084,0.151,0.26,1.38,0.315,0.733,107,104,103,4.58,4.43,0.15,4.31,3.73,TOR
Indians,8.77,2.91,3.01,1.69,0.23,0.075,0.151,0.251,1.31,0.289,0.713,115,114,98,5,4.8,0.2,4.13,3.69,CLE
Mets,8.23,3.95,2.08,1.43,0.21,0.101,0.109,0.255,1.43,0.295,0.729,123,118,116,4.77,4.83,-0.06,4.75,4.25,NYN
Royals,7.11,4.1,1.73,1.33,0.18,0.103,0.075,0.276,1.55,0.314,0.69,125,121,110,5.39,4.97,0.42,4.65,4.47,KCA
